"Sport","Game_Type","Entry_Key","Entry","Contest_Key","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NFL","Classic",2491897470,"NFL $1M Play-Action [$100K to 1st, 20 Entry Max]",101006085,"2021-01-16 16:35:00",63609,125.14,"$5.00","$0.00",396353,"$3.00","$1,000,000.00",97200
"NFL","Classic",2490212859,"NFL $175K First Down [20 Entry Max] (15/20)",101030141,"2021-01-16 16:35:00",3388,146.14,"$4.00","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212864,"NFL $175K First Down [20 Entry Max] (20/20)",101030141,"2021-01-16 16:35:00",3463,145.96,"$4.00","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212849,"NFL $175K First Down [20 Entry Max] (5/20)",101030141,"2021-01-16 16:35:00",12422,135.1,"$2.00","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212863,"NFL $175K First Down [20 Entry Max] (19/20)",101030141,"2021-01-16 16:35:00",15012,133.16,"$2.00","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212848,"NFL $175K First Down [20 Entry Max] (4/20)",101030141,"2021-01-16 16:35:00",18003,131.2,"$2.00","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212858,"NFL $175K First Down [20 Entry Max] (14/20)",101030141,"2021-01-16 16:35:00",21009,129.54,"$2.00","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212860,"NFL $175K First Down [20 Entry Max] (16/20)",101030141,"2021-01-16 16:35:00",36492,122.64,"$1.50","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212852,"NFL $175K First Down [20 Entry Max] (8/20)",101030141,"2021-01-16 16:35:00",37100,122.38,"$1.50","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212857,"NFL $175K First Down [20 Entry Max] (13/20)",101030141,"2021-01-16 16:35:00",37196,122.34,"$1.50","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212855,"NFL $175K First Down [20 Entry Max] (11/20)",101030141,"2021-01-16 16:35:00",38732,121.74,"$1.50","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212850,"NFL $175K First Down [20 Entry Max] (6/20)",101030141,"2021-01-16 16:35:00",41606,120.7,"$1.50","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212856,"NFL $175K First Down [20 Entry Max] (12/20)",101030141,"2021-01-16 16:35:00",45281,119.44,"$1.50","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212862,"NFL $175K First Down [20 Entry Max] (18/20)",101030141,"2021-01-16 16:35:00",45462,119.36,"$1.50","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212853,"NFL $175K First Down [20 Entry Max] (9/20)",101030141,"2021-01-16 16:35:00",49111,118.14,"$1.50","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212845,"NFL $175K First Down [20 Entry Max] (1/20)",101030141,"2021-01-16 16:35:00",49205,118.1,"$1.50","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212846,"NFL $175K First Down [20 Entry Max] (2/20)",101030141,"2021-01-16 16:35:00",55630,116.2,"$1.50","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212854,"NFL $175K First Down [20 Entry Max] (10/20)",101030141,"2021-01-16 16:35:00",66146,113.14,"$0.00","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212847,"NFL $175K First Down [20 Entry Max] (3/20)",101030141,"2021-01-16 16:35:00",80175,109.2,"$0.00","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212851,"NFL $175K First Down [20 Entry Max] (7/20)",101030141,"2021-01-16 16:35:00",85255,107.78,"$0.00","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2490212861,"NFL $175K First Down [20 Entry Max] (17/20)",101030141,"2021-01-16 16:35:00",98187,104.36,"$0.00","$0.00",182880,"$1.00","$175,000.00",56175
"NFL","Classic",2488826771,"NFL $15K Safety [20 Entry Max] (1/8)",101058787,"2021-01-16 16:35:00",297,145.2,"$6.00","$0.00",8789,"$2.00","$15,000.00",2403
"NFL","Classic",2488826772,"NFL $15K Safety [20 Entry Max] (2/8)",101058787,"2021-01-16 16:35:00",778,136.4,"$4.00","$0.00",8789,"$2.00","$15,000.00",2403
"NFL","Classic",2488826774,"NFL $15K Safety [20 Entry Max] (4/8)",101058787,"2021-01-16 16:35:00",2474,119.94,"$0.00","$0.00",8789,"$2.00","$15,000.00",2403
"NFL","Classic",2488826777,"NFL $15K Safety [20 Entry Max] (7/8)",101058787,"2021-01-16 16:35:00",2819,117.56,"$0.00","$0.00",8789,"$2.00","$15,000.00",2403
"NFL","Classic",2488826775,"NFL $15K Safety [20 Entry Max] (5/8)",101058787,"2021-01-16 16:35:00",3123,115.84,"$0.00","$0.00",8789,"$2.00","$15,000.00",2403
"NFL","Classic",2488826778,"NFL $15K Safety [20 Entry Max] (8/8)",101058787,"2021-01-16 16:35:00",5907,98.96,"$0.00","$0.00",8789,"$2.00","$15,000.00",2403
"NFL","Classic",2488826776,"NFL $15K Safety [20 Entry Max] (6/8)",101058787,"2021-01-16 16:35:00",8402,74.36,"$0.00","$0.00",8789,"$2.00","$15,000.00",2403
"NFL","Classic",2488826773,"NFL $15K Safety [20 Entry Max] (3/8)",101058787,"2021-01-16 16:35:00",8592,68.74,"$0.00","$0.00",8789,"$2.00","$15,000.00",2403
"NHL","Classic",2486610279,"NHL $625 Hip Check [20 Entry Max] (1/3)",101292795,"2021-01-14 19:00:00",408,100.5,"$0.00","$0.00",743,"$1.00","$625.00",176
"NHL","Classic",2486610281,"NHL $625 Hip Check [20 Entry Max] (3/3)",101292795,"2021-01-14 19:00:00",479,94.4,"$0.00","$0.00",743,"$1.00","$625.00",176
"NHL","Classic",2486610280,"NHL $625 Hip Check [20 Entry Max] (2/3)",101292795,"2021-01-14 19:00:00",689,67.9,"$0.00","$0.00",743,"$1.00","$625.00",176
"NBA","Classic",2486656826,"NBA $4K And-One (2/3)",101297482,"2021-01-14 19:00:00",421,323,"$2.00","$0.00",4756,"$1.00","$4,000.00",1103
"NBA","Classic",2486656827,"NBA $4K And-One (3/3)",101297482,"2021-01-14 19:00:00",1543,296,"$0.00","$0.00",4756,"$1.00","$4,000.00",1103
"NBA","Classic",2486656825,"NBA $4K And-One (1/3)",101297482,"2021-01-14 19:00:00",2621,277,"$0.00","$0.00",4756,"$1.00","$4,000.00",1103
"NHL","Classic",2482893677,"NHL $2.5K Hip Check (3/3)",100735724,"2021-01-13 17:30:00",512,121.4,"$1.50","$0.00",2972,"$1.00","$2,500.00",768
"NHL","Classic",2482893675,"NHL $2.5K Hip Check (1/3)",100735724,"2021-01-13 17:30:00",1593,89.2,"$0.00","$0.00",2972,"$1.00","$2,500.00",768
"NHL","Classic",2482893676,"NHL $2.5K Hip Check (2/3)",100735724,"2021-01-13 17:30:00",2130,75.4,"$0.00","$0.00",2972,"$1.00","$2,500.00",768
"NBA","Classic",2484579983,"NBA $5K And-One (4/5)",101218740,"2021-01-13 19:00:00",1849,313.25,"$0.00","$0.00",5945,"$1.00","$5,000.00",1543
"NBA","Classic",2484579982,"NBA $5K And-One (3/5)",101218740,"2021-01-13 19:00:00",2211,307.25,"$0.00","$0.00",5945,"$1.00","$5,000.00",1543
"NBA","Classic",2484579981,"NBA $5K And-One (2/5)",101218740,"2021-01-13 19:00:00",3207,287.75,"$0.00","$0.00",5945,"$1.00","$5,000.00",1543
"NBA","Classic",2484579980,"NBA $5K And-One (1/5)",101218740,"2021-01-13 19:00:00",3391,284.25,"$0.00","$0.00",5945,"$1.00","$5,000.00",1543
"NBA","Classic",2484579984,"NBA $5K And-One (5/5)",101218740,"2021-01-13 19:00:00",3456,282.75,"$0.00","$0.00",5945,"$1.00","$5,000.00",1543
"NBA","Classic",2484572061,"NBA $2.5K Hot Shot [3 Entry Max] (2/3)",101219681,"2021-01-13 19:00:00",363,313.25,"$0.00","$0.00",990,"$3.00","$2,500.00",222
"NBA","Classic",2484572060,"NBA $2.5K Hot Shot [3 Entry Max] (1/3)",101219681,"2021-01-13 19:00:00",442,307.25,"$0.00","$0.00",990,"$3.00","$2,500.00",222
"NBA","Classic",2484572062,"NBA $2.5K Hot Shot [3 Entry Max] (3/3)",101219681,"2021-01-13 19:00:00",666,282.75,"$0.00","$0.00",990,"$3.00","$2,500.00",222
"NBA","Classic",2482632003,"NBA $2.5K Hot Shot [3 Entry Max] (3/3)",101124343,"2021-01-12 19:00:00",87,341.25,"$8.00","$0.00",990,"$3.00","$2,500.00",222
