Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1826240549,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,96.62,,308911,383233,Tournament,0.25,0,https://www.fanduel.com/entry/EAFNOCWNB,
S1826239964,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,87.72,,345449,383233,Tournament,0.25,0,https://www.fanduel.com/entry/EZWWYQIKX,
S1826239370,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,105.12,,258867,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DTURTBMDF,
S1826238754,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,106.82,,247953,383233,Tournament,0.25,0,https://www.fanduel.com/entry/CJZCWFZII,
S1826238224,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,103.92,,266469,383233,Tournament,0.25,0,https://www.fanduel.com/entry/AZBUGBBZO,
S1826237158,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,99.52,,293884,383233,Tournament,0.25,0,https://www.fanduel.com/entry/ANHXNZQOA,
S1826236965,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,96.72,,308398,383233,Tournament,0.25,0,https://www.fanduel.com/entry/COUGHDMGQ,
S1826233785,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,137.56,,59313,383233,Tournament,0.25,0.50,https://www.fanduel.com/entry/BTKCRKOQM,
S1826232242,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,140.70,,47039,383233,Tournament,0.25,0.60,https://www.fanduel.com/entry/EVPPVHDUI,
S1826231228,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,111.90,,212513,383233,Tournament,0.25,0,https://www.fanduel.com/entry/ANHXMVUZC,
S1826230136,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,100.30,,289670,383233,Tournament,0.25,0,https://www.fanduel.com/entry/CFDZQQLKU,
S1826229521,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,102.90,,273918,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DZDRPCNAQ,
S1826228571,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,111.30,,216826,383233,Tournament,0.25,0,https://www.fanduel.com/entry/BEKVHXXGE,
S1826228031,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,108.50,,236395,383233,Tournament,0.25,0,https://www.fanduel.com/entry/BXRIWJWDW,
S1826227690,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,101.70,,281594,383233,Tournament,0.25,0,https://www.fanduel.com/entry/CECETDZXC,
S1826227392,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,105,,259650,383233,Tournament,0.25,0,https://www.fanduel.com/entry/BRUKNSLUQ,
S1826226962,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,102.90,,273918,383233,Tournament,0.25,0,https://www.fanduel.com/entry/AJARWFKDG,
S1826225667,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,158.22,,11827,383233,Tournament,0.25,0.75,https://www.fanduel.com/entry/ACPVWDMPW,
S1826225557,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,153.82,,17553,383233,Tournament,0.25,0.75,https://www.fanduel.com/entry/CUDHFWGRS,
S1826222122,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,107.22,,245063,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DOLPZZFCE,
S1826221132,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,109.82,,227052,383233,Tournament,0.25,0,https://www.fanduel.com/entry/BNNETUHEQ,
S1826219463,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,114.92,,190988,383233,Tournament,0.25,0,https://www.fanduel.com/entry/AUUOSZWVC,
S1826217201,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,96.42,,309848,383233,Tournament,0.25,0,https://www.fanduel.com/entry/CBKRINJAY,
S1826216927,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,95.82,,312974,383233,Tournament,0.25,0,https://www.fanduel.com/entry/ETZXRLHZW,
S1826215952,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,88.62,,342588,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DFJGQZKCA,
S1826215133,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,104.98,,259865,383233,Tournament,0.25,0,https://www.fanduel.com/entry/FAKTOJERS,
S1826213212,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,102.52,,276419,383233,Tournament,0.25,0,https://www.fanduel.com/entry/BZHBQSMVC,
S1826211559,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,98.62,,298721,383233,Tournament,0.25,0,https://www.fanduel.com/entry/AJOPRMOWA,
S1826210316,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,103.22,,271976,383233,Tournament,0.25,0,https://www.fanduel.com/entry/CQXWUPJLK,
S1826210117,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,90.12,,337458,383233,Tournament,0.25,0,https://www.fanduel.com/entry/CDAJYZIDO,
S1826209528,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,101.12,,284895,383233,Tournament,0.25,0,https://www.fanduel.com/entry/AWYESVOBK,
S1826196648,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,126,,117031,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DAODWOSAM,
S1826193651,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,100.72,,287195,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DCDWFSMVS,
S1826191140,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,89.02,,341320,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DVYHHOOKI,
S1826183780,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,132.42,,81539,383233,Tournament,0.25,0.50,https://www.fanduel.com/entry/ALEIOKIOI,
S1824746720,nfl,2019/10/10,$40K Thu NFL Hail Mary (Only $0.25 to Enter),$60k,79.64,,14866,191616,Tournament,0.25,0.60,https://www.fanduel.com/entry/ELZKEECNY,
