Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S2325520751,nba,2021/01/15,$30K Fri NBA Pick 'n Roll (25 Entries Max),$60k,257.30,,12195,16087,Tournament,2.22,0,https://www.fanduel.com/entry/ECHSGIQRZ,
S2325520746,nba,2021/01/15,$30K Fri NBA Pick 'n Roll (25 Entries Max),$60k,264.90,,10977,16087,Tournament,2.22,0,https://www.fanduel.com/entry/CTACCEDCT,
S2325520737,nba,2021/01/15,$30K Fri NBA Pick 'n Roll (25 Entries Max),$60k,290.40,,5866,16087,Tournament,2.22,0,https://www.fanduel.com/entry/CUPUOEMWH,
S2325520733,nba,2021/01/15,$30K Fri NBA Pick 'n Roll (25 Entries Max),$60k,283,,7473,16087,Tournament,2.22,0,https://www.fanduel.com/entry/CRKJQDTJF,
S2320857853,nhl,2021/01/13,$250 NHL Small Wrister (5 Entries Max),$55k,121.50,,166,297,Tournament,1,0,https://www.fanduel.com/entry/ATRJTTINA,
S2320857852,nhl,2021/01/13,$250 NHL Small Wrister (5 Entries Max),$55k,188.60,,17,297,Tournament,1,3.00,https://www.fanduel.com/entry/AUFHGKUKW,
S2320857849,nhl,2021/01/13,$250 NHL Small Wrister (5 Entries Max),$55k,90.90,,245,297,Tournament,1,0,https://www.fanduel.com/entry/AUTETCGIS,
S2320857846,nhl,2021/01/13,$250 NHL Small Wrister (5 Entries Max),$55k,158.50,,70,297,Tournament,1,0,https://www.fanduel.com/entry/AVHCFTSGO,
S2320473040,nba,2021/01/12,$30K Tue NBA Pick 'n Roll (20 Entries Max),$60k,266.10,,11358,16087,Tournament,2.22,0,https://www.fanduel.com/entry/CZKYFVGAQ,
S2320473037,nba,2021/01/12,$30K Tue NBA Pick 'n Roll (20 Entries Max),$60k,297.90,,3829,16087,Tournament,2.22,4.00,https://www.fanduel.com/entry/CZYVSMRYM,
S2320473033,nba,2021/01/12,$30K Tue NBA Pick 'n Roll (20 Entries Max),$60k,259.20,,12705,16087,Tournament,2.22,0,https://www.fanduel.com/entry/DBAQRVPUE,
S2320473029,nba,2021/01/12,$30K Tue NBA Pick 'n Roll (20 Entries Max),$60k,232.60,,15628,16087,Tournament,2.22,0,https://www.fanduel.com/entry/DGJROOEYQ,
S2320473027,nba,2021/01/12,$30K Tue NBA Pick 'n Roll (20 Entries Max),$60k,317.40,,1224,16087,Tournament,2.22,5.00,https://www.fanduel.com/entry/DGXPBFQWM,
S2320473023,nba,2021/01/12,$30K Tue NBA Pick 'n Roll (20 Entries Max),$60k,288.10,,5784,16087,Tournament,2.22,0,https://www.fanduel.com/entry/DDSEDEXJK,
S2320473016,nba,2021/01/12,$30K Tue NBA Pick 'n Roll (20 Entries Max),$60k,279.10,,7939,16087,Tournament,2.22,0,https://www.fanduel.com/entry/DEGBPWJHG,
S2320473011,nba,2021/01/12,$30K Tue NBA Pick 'n Roll (20 Entries Max),$60k,238.30,,15367,16087,Tournament,2.22,0,https://www.fanduel.com/entry/DFHWPFHCY,
S2320473006,nba,2021/01/12,$30K Tue NBA Pick 'n Roll (20 Entries Max),$60k,211.60,,16003,16087,Tournament,2.22,0,https://www.fanduel.com/entry/ESIVEFTBS,
S2320472997,nba,2021/01/12,$30K Tue NBA Pick 'n Roll (20 Entries Max),$60k,265.50,,11495,16087,Tournament,2.22,0,https://www.fanduel.com/entry/ESWSQXEZO,
S2318731747,nba,2021/01/11,$30K Mon NBA Pick 'n Roll (25 Entries Max),$60k,270.90,,11538,16087,Tournament,2.22,0,https://www.fanduel.com/entry/AMSPRNGRR,
S2318731739,nba,2021/01/11,$30K Mon NBA Pick 'n Roll (25 Entries Max),$60k,287.40,,7239,16087,Tournament,2.22,0,https://www.fanduel.com/entry/AJNETMNEP,
S2318731732,nba,2021/01/11,$30K Mon NBA Pick 'n Roll (25 Entries Max),$60k,283.70,,8343,16087,Tournament,2.22,0,https://www.fanduel.com/entry/AKOZSVLAH,
S2318731724,nba,2021/01/11,$30K Mon NBA Pick 'n Roll (25 Entries Max),$60k,324.80,,514,16087,Tournament,2.22,8.00,https://www.fanduel.com/entry/APYAPOAET,
S2318731717,nba,2021/01/11,$30K Mon NBA Pick 'n Roll (25 Entries Max),$60k,307.10,,2549,16087,Tournament,2.22,4.00,https://www.fanduel.com/entry/AQZVOWYAL,
S2318731708,nba,2021/01/11,$30K Mon NBA Pick 'n Roll (25 Entries Max),$60k,335.80,,139,16087,Tournament,2.22,15.00,https://www.fanduel.com/entry/AOWFQFCJB,
S2318731694,nba,2021/01/11,$30K Mon NBA Pick 'n Roll (25 Entries Max),$60k,289.40,,6771,16087,Tournament,2.22,0,https://www.fanduel.com/entry/EBTUMBOJR,
S2318731683,nba,2021/01/11,$30K Mon NBA Pick 'n Roll (25 Entries Max),$60k,278.30,,9742,16087,Tournament,2.22,0,https://www.fanduel.com/entry/ECVPLKMFJ,
S2318731676,nba,2021/01/11,$30K Mon NBA Pick 'n Roll (25 Entries Max),$60k,310,,2078,16087,Tournament,2.22,4.00,https://www.fanduel.com/entry/DZCHASGUL,
S2318731671,nba,2021/01/11,$30K Mon NBA Pick 'n Roll (25 Entries Max),$60k,316.40,,1173,16087,Tournament,2.22,5.00,https://www.fanduel.com/entry/EAECABEQD,
S2318731661,nba,2021/01/11,$30K Mon NBA Pick 'n Roll (25 Entries Max),$60k,295.40,,5074,16087,Tournament,2.22,0,https://www.fanduel.com/entry/DCQIOYFCT,
S2313126693,nfl,2021/01/09,$50K Sat NFL Snap (25 Entries Max),$60k,111.96,,11041,20718,Tournament,2,0,https://www.fanduel.com/entry/EZVKXFWUY,
S2313126680,nfl,2021/01/09,$50K Sat NFL Snap (25 Entries Max),$60k,136.40,,2605,20718,Tournament,2,5.00,https://www.fanduel.com/entry/FGGGTHJVC,
S2313126668,nfl,2021/01/09,$50K Sat NFL Snap (25 Entries Max),$60k,103.56,,14313,20718,Tournament,2,0,https://www.fanduel.com/entry/FDOTHYCFW,
S2313114258,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,95.06,,64057,77177,Tournament,1,0,https://www.fanduel.com/entry/FDAUMVTCJ,
S2313114252,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,99.66,,58115,77177,Tournament,1,0,https://www.fanduel.com/entry/FDORZNFAF,
