Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1216791325,mlb,2017/05/10,$250 MLB Mini Sac Fly,$35k,133.60,,141,294,Tournament,1,0,https://www.fanduel.com/entry/ABJBLXPFN,
S1216780904,mlb,2017/05/10,$500 Experienced Players Excluded Free Play ,$35k,184.70,,211,4652,Tournament,0,1.00,https://www.fanduel.com/entry/DPWIUUNPZ,
S1216761641,mlb,2017/05/10,$250 MLB Mini Bunt,$35k,125.50,,179,294,Tournament,1,0,https://www.fanduel.com/entry/ANQWDCWYL,
S1216739971,mlb,2017/05/10,$250 MLB Mini Sac Fly,$35k,97.70,,229,294,Tournament,1,0,https://www.fanduel.com/entry/DEQJBBRLC,
S1216735016,mlb,2017/05/10,$10K Wed MLB Bunt (Single Entry),$35k,184.70,,864,11764,Tournament,1,3.00,https://www.fanduel.com/entry/CADWOCSLG,
S1216289880,mlb,2017/05/09,$250 MLB Mini Bunt,$35k,112.10,,197,294,Tournament,1,0,https://www.fanduel.com/entry/CJGFJMHMX,
S1216271813,mlb,2017/05/09,$250 MLB Mini Bunt,$35k,139,,107,294,Tournament,1,0,https://www.fanduel.com/entry/AWTEREHTB,
S1216190675,mlb,2017/05/09,$250 MLB Mini Sac Fly,$35k,65.20,,288,294,Tournament,1,0,https://www.fanduel.com/entry/CDJHSSZMY,
S1216026919,mlb,2017/05/09,$13K Tue MLB Bunt (Single Entry) ,$35k,138.90,,4905,15294,Tournament,1,0,https://www.fanduel.com/entry/DCMSXYGLB,
S1215786579,mlb,2017/05/08,$250 MLB Mini Sac Fly,$35k,186.60,,5,294,Tournament,1,7.50,https://www.fanduel.com/entry/COPHKALPQ,
S1215654096,mlb,2017/05/08,$250 MLB Mini Bunt,$35k,168.90,,28,294,Tournament,1,2.50,https://www.fanduel.com/entry/AAHGZMGQE,
S1215596237,mlb,2017/05/08,$250 MLB Mini Sac Fly,$35k,177.40,,17,294,Tournament,1,3.00,https://www.fanduel.com/entry/FCXHROISZ,
S1215581437,mlb,2017/05/08,$250 MLB Mini Bunt,$35k,181.50,,11,294,Tournament,1,4.00,https://www.fanduel.com/entry/EAANMTBYB,
S1215536805,mlb,2017/05/08,$13K Mon MLB Bunt (Single Entry) ,$35k,149,,2561,15294,Tournament,1,2.00,https://www.fanduel.com/entry/DAJDVIQOS,
S1215405912,mlb,2017/05/08,$500 Experienced Players Excluded Free Play ,$35k,161.60,,332,5722,Tournament,0,0,https://www.fanduel.com/entry/APULUUAGM,
S1214736345,mlb,2017/05/07,$250 MLB Mini Bunt,$35k,103.30,,161,294,Tournament,1,0,https://www.fanduel.com/entry/CYTLRUGRQ,
S1214724604,mlb,2017/05/07,$8K Sun MLB Bunt (Single Entry),$35k,85.40,,6666,9411,Tournament,1,0,https://www.fanduel.com/entry/FCXHYDWHM,
S1214117476,mlb,2017/05/06,$250 MLB Mini Sac Fly,$35k,146.30,,99,294,Tournament,1,0,https://www.fanduel.com/entry/AGSBXADPC,
S1214116910,mlb,2017/05/06,$250 MLB Mini Bunt,$35k,95.90,,251,294,Tournament,1,0,https://www.fanduel.com/entry/EEVPZKKSI,
S1214116078,mlb,2017/05/06,$10K Sat MLB Bunt (Single Entry),$35k,149.40,,2957,11764,Tournament,1,0,https://www.fanduel.com/entry/AFCJLORQA,
S1213689372,mlb,2017/05/05,$250 MLB Mini Sac Fly,$35k,110,,133,294,Tournament,1,0,https://www.fanduel.com/entry/CHCQOQAQC,
S1213643656,mlb,2017/05/05,$10K Fri MLB Sac Fly (3 Entries Max),$35k,91.50,,8435,11764,Tournament,1,0,https://www.fanduel.com/entry/BPZSJJFDJ,
S1213622134,mlb,2017/05/05,$250 MLB Mini Bunt,$35k,125.20,,129,294,Tournament,1,0,https://www.fanduel.com/entry/BLEPQJUNZ,
S1213619600,mlb,2017/05/05,$250 MLB Mini Sac Fly,$35k,120.40,,145,294,Tournament,1,0,https://www.fanduel.com/entry/DMQYGCDNV,
S1213594477,mlb,2017/05/05,$14K Fri MLB Bunt (Single Entry),$35k,136.80,,3564,16429,Tournament,1,0,https://www.fanduel.com/entry/EEHSLPDFW,
S1213027407,mlb,2017/05/04,$250 MLB Mini Sac Fly,$35k,139,,32,294,Tournament,1,2.50,https://www.fanduel.com/entry/FBVMUUNUY,
S1213024472,mlb,2017/05/04,$8K Thu MLB Bunt (Single Entry),$35k,151.40,,765,9411,Tournament,1,2.00,https://www.fanduel.com/entry/FAFUPNKOI,
S1213020859,mlb,2017/05/04,$250 MLB Mini Bunt,$35k,77.80,,194,294,Tournament,1,0,https://www.fanduel.com/entry/ADMRZJMHW,
S1212134753,mlb,2017/05/03,$10K Wed MLB Sac Fly (3 Entries Max),$35k,89.30,,9681,11764,Tournament,1,0,https://www.fanduel.com/entry/AUBRLCZCC,
S1212097191,mlb,2017/05/03,$250 MLB Mini Bunt,$35k,139.60,,86,294,Tournament,1,0,https://www.fanduel.com/entry/ENXZFCLZF,
S1212083409,mlb,2017/05/03,$13K Wed MLB Bunt (Single Entry) ,$35k,130.60,,5439,15294,Tournament,1,0,https://www.fanduel.com/entry/DTPQYXFKL,
S1212083274,mlb,2017/05/03,Bronze FDP Free Play,$35k,130.60,,5630,19853,Tournament,0,0,https://www.fanduel.com/entry/EVKQIGFYH,
S1211314552,mlb,2017/05/02,$250 MLB Mini Sac Fly,$35k,113.40,,222,294,Tournament,1,0,https://www.fanduel.com/entry/AJXMRLRML,
S1211305292,mlb,2017/05/02,$13K Tue MLB Bunt (Single Entry) ,$35k,149.20,,5555,15294,Tournament,1,0,https://www.fanduel.com/entry/AWTEOHSTB,
S1211295422,mlb,2017/05/02,$250 MLB Mini Bunt,$35k,165.20,,87,294,Tournament,1,0,https://www.fanduel.com/entry/BETTCGMHZ,
S1210969031,mlb,2017/05/01,$250 MLB Mini Bunt,$35k,68.40,,276,294,Tournament,1,0,https://www.fanduel.com/entry/CXDSNGWSI,
S1210737582,mlb,2017/05/01,$250 MLB Mini Bunt,$35k,91.10,,215,294,Tournament,1,0,https://www.fanduel.com/entry/AOSREXEVN,
S1210720603,mlb,2017/05/01,$250 MLB Mini Sac Fly,$35k,64.90,,266,294,Tournament,1,0,https://www.fanduel.com/entry/DZMOWYRSY,
S1210691451,mlb,2017/05/01,$250 MLB Mini Sac Fly,$35k,125.80,,87,294,Tournament,1,0,https://www.fanduel.com/entry/DTPRIJHXW,
S1210689910,mlb,2017/05/01,$250 MLB Mini Bunt,$35k,71.10,,265,294,Tournament,1,0,https://www.fanduel.com/entry/ELUJYEZSY,
